Team,Team Name,League,Year,Games,Wins,Home Runs,RS,RA,OBP,SLG,BA,Playoffs,PlayoffsFinish
MIN,Minnesota Twins,AL,1989,162,80,,740,738,0.334,0.402,0.276,No,
MON,Montreal Expos,NL,1989,162,81,,632,630,0.319,0.361,0.247,No,
NYM,New York Mets,NL,1989,162,87,,683,595,0.311,0.385,0.246,No,
NYY,New York Yankees,AL,1989,161,74,,698,792,0.331,0.391,0.269,No,
OAK,Oakland Athletics,AL,1989,162,99,,712,576,0.331,0.381,0.261,Yes,1.0
PHI,Philadelphia Phillies,NL,1989,163,67,,629,735,0.314,0.364,0.243,No,
PIT,Pittsburgh Pirates,NL,1989,164,74,,637,680,0.311,0.359,0.241,No,
SDP,San Diego Padres,NL,1989,162,89,,642,626,0.319,0.369,0.251,No,
SEA,Seattle Mariners,AL,1989,162,73,,694,728,0.32,0.384,0.257,No,
SFG,San Francisco Giants,NL,1989,162,92,,699,600,0.316,0.39,0.25,Yes,2.0
STL,St. Louis Cardinals,NL,1989,164,86,,632,608,0.321,0.363,0.258,No,
TEX,Texas Rangers,AL,1989,162,83,,695,714,0.326,0.394,0.263,No,
TOR,Toronto Blue Jays,AL,1989,162,89,,731,651,0.323,0.398,0.26,Yes,3.0
ATL,Atlanta Braves,NL,1988,160,54,,555,741,0.298,0.348,0.242,No,
BAL,Baltimore Orioles,AL,1988,161,54,,550,789,0.305,0.359,0.238,No,
BOS,Boston Red Sox,AL,1988,162,89,,813,689,0.357,0.42,0.283,Yes,3.0
CAL,California Angels,AL,1988,162,75,,714,771,0.321,0.385,0.261,No,
CHC,Chicago Cubs,NL,1988,163,77,,660,694,0.31,0.383,0.261,No,
CHW,Chicago White Sox,AL,1988,161,71,,631,757,0.303,0.37,0.244,No,
CIN,Cincinnati Reds,NL,1988,161,87,,641,596,0.309,0.368,0.246,No,
CLE,Cleveland Indians,AL,1988,162,78,,666,731,0.314,0.387,0.261,No,
DET,Detroit Tigers,AL,1988,162,88,,703,658,0.324,0.378,0.25,No,
HOU,Houston Astros,NL,1988,162,82,,617,631,0.306,0.351,0.244,No,
KCR,Kansas City Royals,AL,1988,161,84,,704,648,0.321,0.391,0.259,No,
LAD,Los Angeles Dodgers,NL,1988,162,94,,628,544,0.305,0.352,0.248,Yes,1.0
MIL,Milwaukee Brewers,AL,1988,162,87,,682,616,0.314,0.375,0.257,No,
MIN,Minnesota Twins,AL,1988,162,91,,759,672,0.34,0.421,0.274,No,
MON,Montreal Expos,NL,1988,163,81,,628,592,0.309,0.373,0.251,No,
NYM,New York Mets,NL,1988,160,100,,703,532,0.325,0.396,0.256,Yes,3.0
NYY,New York Yankees,AL,1988,161,85,,772,748,0.333,0.395,0.263,No,
OAK,Oakland Athletics,AL,1988,162,104,,800,620,0.336,0.399,0.263,Yes,2.0
PHI,Philadelphia Phillies,NL,1988,162,65,,597,734,0.306,0.355,0.239,No,
PIT,Pittsburgh Pirates,NL,1988,160,85,,651,616,0.317,0.369,0.247,No,
SDP,San Diego Padres,NL,1988,161,83,,594,583,0.31,0.351,0.247,No,
SEA,Seattle Mariners,AL,1988,161,68,,664,744,0.317,0.398,0.257,No,
SFG,San Francisco Giants,NL,1988,162,83,,670,626,0.318,0.368,0.248,No,
STL,St. Louis Cardinals,NL,1988,162,76,,578,633,0.309,0.337,0.249,No,
TEX,Texas Rangers,AL,1988,161,70,,637,735,0.32,0.368,0.252,No,
TOR,Toronto Blue Jays,AL,1988,162,87,,763,680,0.332,0.419,0.268,No,
ATL,Atlanta Braves,NL,1987,161,69,,747,829,0.339,0.403,0.258,No,
BAL,Baltimore Orioles,AL,1987,162,67,,729,880,0.322,0.418,0.258,No,
BOS,Boston Red Sox,AL,1987,162,78,,842,825,0.352,0.43,0.278,No,
CAL,California Angels,AL,1987,162,75,,770,803,0.326,0.401,0.252,No,
CHC,Chicago Cubs,NL,1987,161,76,,720,801,0.326,0.432,0.264,No,
CHW,Chicago White Sox,AL,1987,162,77,,748,746,0.319,0.415,0.258,No,
CIN,Cincinnati Reds,NL,1987,162,84,,783,752,0.33,0.427,0.266,No,
CLE,Cleveland Indians,AL,1987,162,61,,742,957,0.324,0.422,0.263,No,
DET,Detroit Tigers,AL,1987,162,98,,896,735,0.349,0.451,0.272,Yes,3.0
HOU,Houston Astros,NL,1987,162,76,,648,678,0.318,0.373,0.253,No,
KCR,Kansas City Royals,AL,1987,162,83,,715,691,0.328,0.412,0.262,No,
LAD,Los Angeles Dodgers,NL,1987,162,73,,635,675,0.309,0.371,0.252,No,
MIL,Milwaukee Brewers,AL,1987,162,91,,862,817,0.346,0.428,0.276,No,
MIN,Minnesota Twins,AL,1987,162,85,,786,806,0.328,0.43,0.261,Yes,1.0
MON,Montreal Expos,NL,1987,162,91,,741,720,0.328,0.401,0.265,No,
NYM,New York Mets,NL,1987,162,92,,823,698,0.339,0.434,0.268,No,
NYY,New York Yankees,AL,1987,162,89,,788,758,0.336,0.418,0.262,No,
OAK,Oakland Athletics,AL,1987,162,81,,806,789,0.333,0.428,0.26,No,
PHI,Philadelphia Phillies,NL,1987,162,80,,702,749,0.327,0.41,0.254,No,
PIT,Pittsburgh Pirates,NL,1987,162,80,,723,744,0.33,0.403,0.264,No,
SDP,San Diego Padres,NL,1987,162,65,,668,763,0.332,0.378,0.26,No,
SEA,Seattle Mariners,AL,1987,162,78,,760,801,0.335,0.428,0.272,No,
SFG,San Francisco Giants,NL,1987,162,90,,783,669,0.324,0.43,0.26,Yes,3.0
STL,St. Louis Cardinals,NL,1987,162,95,,798,693,0.34,0.378,0.263,Yes,2.0
TEX,Texas Rangers,AL,1987,162,75,,823,849,0.333,0.43,0.266,No,
TOR,Toronto Blue Jays,AL,1987,162,96,,845,655,0.336,0.446,0.269,No,
ATL,Atlanta Braves,NL,1986,161,72,,615,719,0.319,0.381,0.25,No,
BAL,Baltimore Orioles,AL,1986,162,73,,708,760,0.327,0.395,0.258,No,
BOS,Boston Red Sox,AL,1986,161,95,,794,696,0.346,0.415,0.271,Yes,2.0
CAL,California Angels,AL,1986,162,92,,786,684,0.338,0.404,0.255,Yes,3.0
CHC,Chicago Cubs,NL,1986,160,70,,680,781,0.318,0.398,0.256,No,
CHW,Chicago White Sox,AL,1986,162,72,,644,699,0.31,0.363,0.247,No,
CIN,Cincinnati Reds,NL,1986,162,86,,732,717,0.325,0.387,0.254,No,
CLE,Cleveland Indians,AL,1986,163,84,,831,841,0.337,0.43,0.284,No,
DET,Detroit Tigers,AL,1986,162,87,,798,714,0.338,0.424,0.263,No,
HOU,Houston Astros,NL,1986,162,96,,654,569,0.322,0.381,0.255,Yes,3.0
KCR,Kansas City Royals,AL,1986,162,76,,654,673,0.313,0.39,0.252,No,
LAD,Los Angeles Dodgers,NL,1986,162,73,,638,679,0.313,0.37,0.251,No,
MIL,Milwaukee Brewers,AL,1986,161,77,,667,734,0.321,0.385,0.255,No,
MIN,Minnesota Twins,AL,1986,162,71,,741,839,0.325,0.428,0.261,No,
MON,Montreal Expos,NL,1986,161,78,,637,688,0.322,0.379,0.254,No,
NYM,New York Mets,NL,1986,162,108,,783,578,0.339,0.401,0.263,Yes,1.0
NYY,New York Yankees,AL,1986,162,90,,797,738,0.347,0.43,0.271,No,
OAK,Oakland Athletics,AL,1986,162,76,,731,760,0.322,0.39,0.252,No,
PHI,Philadelphia Phillies,NL,1986,161,86,,739,713,0.327,0.4,0.253,No,
PIT,Pittsburgh Pirates,NL,1986,162,64,,663,700,0.321,0.374,0.25,No,
SDP,San Diego Padres,NL,1986,162,74,,656,723,0.321,0.388,0.261,No,
SEA,Seattle Mariners,AL,1986,162,67,,718,835,0.326,0.399,0.253,No,
SFG,San Francisco Giants,NL,1986,162,83,,698,618,0.322,0.375,0.253,No,
STL,St. Louis Cardinals,NL,1986,161,79,,601,611,0.309,0.327,0.236,No,
TEX,Texas Rangers,AL,1986,162,87,,771,743,0.331,0.428,0.267,No,
TOR,Toronto Blue Jays,AL,1986,163,86,,809,733,0.329,0.427,0.269,No,
ATL,Atlanta Braves,NL,1985,162,66,,632,781,0.315,0.363,0.246,No,
BAL,Baltimore Orioles,AL,1985,161,83,,818,764,0.336,0.43,0.263,No,
BOS,Boston Red Sox,AL,1985,163,81,,800,720,0.347,0.429,0.282,No,
CAL,California Angels,AL,1985,162,90,,732,703,0.333,0.386,0.251,No,
CHC,Chicago Cubs,NL,1985,162,77,,686,729,0.324,0.39,0.254,No,
CHW,Chicago White Sox,AL,1985,163,85,,736,720,0.315,0.392,0.253,No,
CIN,Cincinnati Reds,NL,1985,162,89,,677,666,0.327,0.376,0.255,No,
CLE,Cleveland Indians,AL,1985,162,60,,729,861,0.324,0.385,0.265,No,
DET,Detroit Tigers,AL,1985,161,84,,729,688,0.318,0.424,0.253,No,
HOU,Houston Astros,NL,1985,162,83,,706,691,0.319,0.388,0.261,No,
KCR,Kansas City Royals,AL,1985,162,91,,687,639,0.313,0.401,0.252,Yes,1.0
LAD,Los Angeles Dodgers,NL,1985,162,95,,682,579,0.328,0.382,0.261,Yes,3.0
MIL,Milwaukee Brewers,AL,1985,161,71,,690,802,0.319,0.379,0.263,No,
MIN,Minnesota Twins,AL,1985,162,77,,705,782,0.326,0.407,0.264,No,
MON,Montreal Expos,NL,1985,161,84,,633,636,0.31,0.375,0.247,No,
NYM,New York Mets,NL,1985,162,98,,695,568,0.323,0.385,0.257,No,
NYY,New York Yankees,AL,1985,161,97,,839,660,0.344,0.425,0.267,No,
OAK,Oakland Athletics,AL,1985,162,77,,757,787,0.325,0.401,0.264,No,
PHI,Philadelphia Phillies,NL,1985,162,75,,667,673,0.312,0.383,0.245,No,
PIT,Pittsburgh Pirates,NL,1985,161,57,,568,708,0.311,0.347,0.247,No,
SDP,San Diego Padres,NL,1985,162,83,,650,622,0.32,0.368,0.255,No,
SEA,Seattle Mariners,AL,1985,162,74,,719,818,0.326,0.412,0.255,No,
SFG,San Francisco Giants,NL,1985,162,62,,556,674,0.299,0.348,0.233,No,
STL,St. Louis Cardinals,NL,1985,162,101,,747,572,0.335,0.379,0.264,Yes,2.0
TEX,Texas Rangers,AL,1985,161,62,,617,785,0.322,0.381,0.253,No,
TOR,Toronto Blue Jays,AL,1985,161,99,,759,588,0.331,0.425,0.269,Yes,3.0
ATL,Atlanta Braves,NL,1984,162,80,,632,655,0.317,0.361,0.247,No,
BAL,Baltimore Orioles,AL,1984,162,85,,681,667,0.328,0.391,0.252,No,
BOS,Boston Red Sox,AL,1984,162,86,,810,764,0.341,0.441,0.283,No,
CAL,California Angels,AL,1984,162,81,,696,697,0.319,0.381,0.249,No,
CHC,Chicago Cubs,NL,1984,161,96,,762,658,0.331,0.397,0.26,Yes,3.0
CHW,Chicago White Sox,AL,1984,162,74,,679,736,0.314,0.395,0.247,No,
CIN,Cincinnati Reds,NL,1984,162,70,,627,747,0.313,0.356,0.244,No,
CLE,Cleveland Indians,AL,1984,163,75,,761,766,0.335,0.384,0.265,No,
DET,Detroit Tigers,AL,1984,162,104,,829,643,0.342,0.432,0.271,Yes,1.0
HOU,Houston Astros,NL,1984,162,80,,693,630,0.323,0.371,0.264,No,
KCR,Kansas City Royals,AL,1984,162,84,,673,686,0.317,0.399,0.268,Yes,3.0
LAD,Los Angeles Dodgers,NL,1984,162,79,,580,600,0.306,0.348,0.244,No,
MIL,Milwaukee Brewers,AL,1984,161,67,,641,734,0.317,0.37,0.262,No,
MIN,Minnesota Twins,AL,1984,162,81,,673,675,0.318,0.385,0.265,No,
MON,Montreal Expos,NL,1984,161,78,,593,585,0.312,0.362,0.251,No,
NYM,New York Mets,NL,1984,162,90,,652,676,0.32,0.369,0.257,No,
NYY,New York Yankees,AL,1984,162,87,,758,679,0.339,0.404,0.276,No,
OAK,Oakland Athletics,AL,1984,162,77,,738,796,0.327,0.404,0.259,No,
PHI,Philadelphia Phillies,NL,1984,162,81,,720,690,0.333,0.407,0.266,No,
PIT,Pittsburgh Pirates,NL,1984,162,75,,615,567,0.31,0.363,0.255,No,
SDP,San Diego Padres,NL,1984,162,92,,686,634,0.317,0.371,0.259,Yes,2.0
SEA,Seattle Mariners,AL,1984,162,74,,682,774,0.324,0.384,0.258,No,
SFG,San Francisco Giants,NL,1984,162,66,,682,807,0.328,0.375,0.265,No,
STL,St. Louis Cardinals,NL,1984,162,84,,652,645,0.317,0.351,0.252,No,
TEX,Texas Rangers,AL,1984,161,69,,656,714,0.313,0.377,0.261,No,
TOR,Toronto Blue Jays,AL,1984,163,89,,750,696,0.331,0.421,0.273,No,
ATL,Atlanta Braves,NL,1983,162,88,,746,640,0.341,0.4,0.272,No,
BAL,Baltimore Orioles,AL,1983,162,98,,799,652,0.34,0.421,0.269,Yes,1.0
BOS,Boston Red Sox,AL,1983,162,78,,724,775,0.335,0.409,0.27,No,
CAL,California Angels,AL,1983,162,70,,722,779,0.322,0.393,0.26,No,
CHC,Chicago Cubs,NL,1983,162,71,,701,719,0.319,0.401,0.261,No,
CHW,Chicago White Sox,AL,1983,162,99,,800,650,0.329,0.413,0.262,Yes,3.0
CIN,Cincinnati Reds,NL,1983,162,74,,623,710,0.314,0.356,0.239,No,
CLE,Cleveland Indians,AL,1983,162,70,,704,785,0.338,0.369,0.265,No,
DET,Detroit Tigers,AL,1983,162,92,,789,679,0.335,0.427,0.274,No,
HOU,Houston Astros,NL,1983,162,85,,643,646,0.32,0.375,0.257,No,
KCR,Kansas City Royals,AL,1983,163,79,,696,767,0.32,0.397,0.271,No,
LAD,Los Angeles Dodgers,NL,1983,163,91,,654,609,0.318,0.379,0.25,Yes,3.0
MIL,Milwaukee Brewers,AL,1983,162,87,,764,708,0.333,0.418,0.277,No,
MIN,Minnesota Twins,AL,1983,162,70,,709,822,0.319,0.401,0.261,No,
MON,Montreal Expos,NL,1983,163,82,,677,646,0.326,0.386,0.264,No,
NYM,New York Mets,NL,1983,162,68,,575,680,0.3,0.344,0.241,No,
NYY,New York Yankees,AL,1983,162,91,,770,703,0.337,0.416,0.273,No,
OAK,Oakland Athletics,AL,1983,162,74,,708,782,0.326,0.381,0.262,No,
PHI,Philadelphia Phillies,NL,1983,163,90,,696,635,0.329,0.373,0.249,Yes,2.0
PIT,Pittsburgh Pirates,NL,1983,162,84,,659,648,0.325,0.383,0.264,No,
SDP,San Diego Padres,NL,1983,163,81,,653,653,0.311,0.351,0.25,No,
SEA,Seattle Mariners,AL,1983,162,60,,558,740,0.301,0.36,0.24,No,
SFG,San Francisco Giants,NL,1983,162,79,,687,697,0.325,0.375,0.247,No,
STL,St. Louis Cardinals,NL,1983,162,79,,679,710,0.335,0.384,0.27,No,
TEX,Texas Rangers,AL,1983,163,77,,639,609,0.31,0.366,0.255,No,
TOR,Toronto Blue Jays,AL,1983,162,89,,795,726,0.338,0.436,0.277,No,
ATL,Atlanta Braves,NL,1982,162,89,,739,702,0.325,0.383,0.256,Yes,3.0
BAL,Baltimore Orioles,AL,1982,163,94,,774,687,0.341,0.419,0.266,No,
BOS,Boston Red Sox,AL,1982,162,89,,753,713,0.34,0.407,0.274,No,
CAL,California Angels,AL,1982,162,93,,814,670,0.347,0.433,0.274,Yes,3.0
CHC,Chicago Cubs,NL,1982,162,73,,676,709,0.317,0.375,0.26,No,
CHW,Chicago White Sox,AL,1982,162,87,,786,710,0.337,0.413,0.273,No,
CIN,Cincinnati Reds,NL,1982,162,61,,545,661,0.31,0.35,0.251,No,
CLE,Cleveland Indians,AL,1982,162,78,,683,748,0.341,0.373,0.262,No,
DET,Detroit Tigers,AL,1982,162,83,,729,685,0.324,0.418,0.266,No,
HOU,Houston Astros,NL,1982,162,77,,569,620,0.302,0.349,0.247,No,
KCR,Kansas City Royals,AL,1982,162,90,,784,717,0.337,0.428,0.285,No,
LAD,Los Angeles Dodgers,NL,1982,162,88,,691,612,0.327,0.388,0.264,No,
MIL,Milwaukee Brewers,AL,1982,163,95,,891,717,0.335,0.455,0.279,Yes,2.0
MIN,Minnesota Twins,AL,1982,162,60,,657,819,0.316,0.396,0.257,No,
MON,Montreal Expos,NL,1982,162,86,,697,616,0.325,0.396,0.262,No,
NYM,New York Mets,NL,1982,162,65,,609,723,0.305,0.35,0.247,No,
NYY,New York Yankees,AL,1982,162,79,,709,716,0.328,0.398,0.256,No,
OAK,Oakland Athletics,AL,1982,162,68,,691,819,0.309,0.367,0.236,No,
PHI,Philadelphia Phillies,NL,1982,162,89,,664,654,0.323,0.376,0.26,No,
PIT,Pittsburgh Pirates,NL,1982,162,84,,724,696,0.327,0.408,0.273,No,
SDP,San Diego Padres,NL,1982,162,81,,675,658,0.311,0.359,0.257,No,
SEA,Seattle Mariners,AL,1982,162,76,,651,712,0.311,0.381,0.254,No,
SFG,San Francisco Giants,NL,1982,162,87,,673,687,0.327,0.376,0.253,No,
STL,St. Louis Cardinals,NL,1982,162,92,,685,609,0.334,0.364,0.264,Yes,1.0
TEX,Texas Rangers,AL,1982,162,64,,590,749,0.308,0.359,0.249,No,
TOR,Toronto Blue Jays,AL,1982,162,78,,651,701,0.314,0.383,0.262,No,
ATL,Atlanta Braves,NL,1980,161,81,,630,660,0.307,0.38,0.25,No,
BAL,Baltimore Orioles,AL,1980,162,100,,805,640,0.342,0.413,0.273,No,
BOS,Boston Red Sox,AL,1980,160,83,,757,767,0.34,0.436,0.283,No,
CAL,California Angels,AL,1980,160,65,,698,797,0.332,0.378,0.265,No,
CHC,Chicago Cubs,NL,1980,162,64,,614,728,0.309,0.365,0.251,No,
CHW,Chicago White Sox,AL,1980,162,70,,587,722,0.311,0.37,0.259,No,
CIN,Cincinnati Reds,NL,1980,163,89,,707,670,0.327,0.386,0.262,No,
CLE,Cleveland Indians,AL,1980,160,79,,738,807,0.35,0.381,0.277,No,
DET,Detroit Tigers,AL,1980,163,84,,830,757,0.348,0.409,0.273,No,
HOU,Houston Astros,NL,1980,163,93,,637,589,0.326,0.367,0.261,Yes,3.0
KCR,Kansas City Royals,AL,1980,162,97,,809,694,0.345,0.413,0.286,Yes,2.0
LAD,Los Angeles Dodgers,NL,1980,163,92,,663,591,0.323,0.388,0.263,No,
MIL,Milwaukee Brewers,AL,1980,162,86,,811,682,0.329,0.448,0.275,No,
MIN,Minnesota Twins,AL,1980,161,77,,670,724,0.319,0.381,0.265,No,
MON,Montreal Expos,NL,1980,162,90,,694,629,0.324,0.388,0.257,No,
NYM,New York Mets,NL,1980,162,67,,611,702,0.319,0.345,0.257,No,
NYY,New York Yankees,AL,1980,162,103,,820,662,0.343,0.425,0.267,Yes,3.0
OAK,Oakland Athletics,AL,1980,162,83,,686,642,0.322,0.385,0.259,No,
PHI,Philadelphia Phillies,NL,1980,162,91,,728,639,0.327,0.4,0.27,Yes,1.0
PIT,Pittsburgh Pirates,NL,1980,162,83,,666,646,0.322,0.388,0.266,No,
SDP,San Diego Padres,NL,1980,163,73,,591,654,0.324,0.342,0.255,No,
SEA,Seattle Mariners,AL,1980,163,59,,610,793,0.308,0.356,0.248,No,
SFG,San Francisco Giants,NL,1980,161,75,,573,634,0.308,0.342,0.244,No,
STL,St. Louis Cardinals,NL,1980,162,74,,738,710,0.328,0.4,0.275,No,
TEX,Texas Rangers,AL,1980,163,76,,756,752,0.339,0.405,0.284,No,
TOR,Toronto Blue Jays,AL,1980,162,67,,624,762,0.309,0.383,0.251,No,
ATL,Atlanta Braves,NL,1979,160,66,,669,763,0.318,0.377,0.256,No,
BAL,Baltimore Orioles,AL,1979,159,102,,757,582,0.336,0.419,0.261,Yes,2.0
BOS,Boston Red Sox,AL,1979,160,91,,841,711,0.344,0.456,0.283,No,
CAL,California Angels,AL,1979,162,88,,866,768,0.351,0.429,0.282,Yes,3.0
CHC,Chicago Cubs,NL,1979,162,80,,706,707,0.329,0.403,0.269,No,
CHW,Chicago White Sox,AL,1979,160,73,,730,748,0.333,0.41,0.275,No,
CIN,Cincinnati Reds,NL,1979,161,90,,731,644,0.338,0.396,0.264,Yes,3.0
CLE,Cleveland Indians,AL,1979,161,81,,760,805,0.34,0.384,0.258,No,
DET,Detroit Tigers,AL,1979,161,84,,770,738,0.339,0.415,0.269,No,
HOU,Houston Astros,NL,1979,162,89,,583,582,0.315,0.344,0.256,No,
KCR,Kansas City Royals,AL,1979,162,85,,851,816,0.343,0.422,0.282,No,
LAD,Los Angeles Dodgers,NL,1979,162,79,,739,717,0.331,0.412,0.263,No,
MIL,Milwaukee Brewers,AL,1979,161,95,,807,722,0.345,0.448,0.28,No,
MIN,Minnesota Twins,AL,1979,162,82,,764,725,0.341,0.402,0.278,No,
MON,Montreal Expos,NL,1979,160,95,,701,581,0.319,0.408,0.264,No,
NYM,New York Mets,NL,1979,163,63,,593,706,0.313,0.35,0.25,No,
NYY,New York Yankees,AL,1979,160,89,,734,672,0.328,0.406,0.266,No,
OAK,Oakland Athletics,AL,1979,162,54,,573,860,0.302,0.346,0.239,No,
PHI,Philadelphia Phillies,NL,1979,163,84,,683,718,0.34,0.396,0.266,No,
PIT,Pittsburgh Pirates,NL,1979,163,98,,775,643,0.33,0.416,0.272,Yes,1.0
SDP,San Diego Padres,NL,1979,161,68,,603,681,0.311,0.348,0.242,No,
SEA,Seattle Mariners,AL,1979,162,67,,711,820,0.331,0.404,0.269,No,
SFG,San Francisco Giants,NL,1979,162,71,,672,751,0.319,0.365,0.246,No,
STL,St. Louis Cardinals,NL,1979,163,86,,731,693,0.331,0.401,0.278,No,
TEX,Texas Rangers,AL,1979,162,83,,750,698,0.334,0.409,0.278,No,
TOR,Toronto Blue Jays,AL,1979,162,53,,613,862,0.311,0.363,0.251,No,
ATL,Atlanta Braves,NL,1978,162,69,,600,750,0.315,0.363,0.244,No,
BAL,Baltimore Orioles,AL,1978,161,90,,659,633,0.326,0.396,0.258,No,
BOS,Boston Red Sox,AL,1978,163,99,,796,657,0.336,0.424,0.267,No,
CAL,California Angels,AL,1978,162,87,,691,666,0.33,0.37,0.259,No,
CHC,Chicago Cubs,NL,1978,162,79,,664,724,0.331,0.361,0.264,No,
CHW,Chicago White Sox,AL,1978,161,71,,634,731,0.317,0.379,0.264,No,
CIN,Cincinnati Reds,NL,1978,161,92,,710,688,0.334,0.393,0.256,No,
CLE,Cleveland Indians,AL,1978,159,69,,639,694,0.323,0.379,0.261,No,
DET,Detroit Tigers,AL,1978,162,86,,714,653,0.339,0.392,0.271,No,
HOU,Houston Astros,NL,1978,162,74,,605,634,0.313,0.355,0.258,No,
KCR,Kansas City Royals,AL,1978,162,92,,743,634,0.329,0.399,0.268,Yes,3.0
LAD,Los Angeles Dodgers,NL,1978,162,95,,727,573,0.338,0.402,0.264,Yes,2.0
MIL,Milwaukee Brewers,AL,1978,162,93,,804,650,0.339,0.432,0.276,No,
MIN,Minnesota Twins,AL,1978,162,73,,666,678,0.339,0.375,0.267,No,
MON,Montreal Expos,NL,1978,162,76,,633,611,0.306,0.379,0.254,No,
NYM,New York Mets,NL,1978,162,66,,607,690,0.314,0.352,0.245,No,
NYY,New York Yankees,AL,1978,163,100,,735,582,0.329,0.388,0.267,Yes,1.0
OAK,Oakland Athletics,AL,1978,162,69,,532,690,0.303,0.351,0.245,No,
PHI,Philadelphia Phillies,NL,1978,162,90,,708,586,0.328,0.388,0.258,Yes,3.0
PIT,Pittsburgh Pirates,NL,1978,161,88,,684,637,0.32,0.385,0.257,No,
SDP,San Diego Padres,NL,1978,162,84,,591,598,0.321,0.348,0.252,No,
SEA,Seattle Mariners,AL,1978,160,56,,614,834,0.314,0.359,0.248,No,
SFG,San Francisco Giants,NL,1978,162,89,,613,594,0.318,0.374,0.248,No,
STL,St. Louis Cardinals,NL,1978,162,69,,600,657,0.303,0.358,0.249,No,
TEX,Texas Rangers,AL,1978,162,87,,692,632,0.332,0.381,0.253,No,
TOR,Toronto Blue Jays,AL,1978,161,59,,590,775,0.308,0.359,0.25,No,
ATL,Atlanta Braves,NL,1977,162,61,,678,895,0.32,0.376,0.254,No,
BAL,Baltimore Orioles,AL,1977,161,97,,719,653,0.329,0.393,0.261,No,
BOS,Boston Red Sox,AL,1977,161,97,,859,712,0.345,0.465,0.281,No,
CAL,California Angels,AL,1977,162,74,,675,695,0.324,0.386,0.255,No,
CHC,Chicago Cubs,NL,1977,162,81,,692,739,0.33,0.387,0.266,No,
CHW,Chicago White Sox,AL,1977,162,90,,844,771,0.344,0.444,0.278,No,
CIN,Cincinnati Reds,NL,1977,162,88,,802,725,0.345,0.436,0.274,No,
CLE,Cleveland Indians,AL,1977,161,71,,676,739,0.334,0.38,0.269,No,
DET,Detroit Tigers,AL,1977,162,74,,714,751,0.318,0.41,0.264,No,
HOU,Houston Astros,NL,1977,162,81,,680,650,0.32,0.385,0.254,No,
KCR,Kansas City Royals,AL,1977,162,102,,822,651,0.34,0.436,0.277,Yes,3.0
LAD,Los Angeles Dodgers,NL,1977,162,98,,769,582,0.336,0.418,0.266,Yes,2.0
MIL,Milwaukee Brewers,AL,1977,162,67,,639,765,0.314,0.389,0.258,No,
MIN,Minnesota Twins,AL,1977,161,84,,867,776,0.348,0.417,0.282,No,
MON,Montreal Expos,NL,1977,162,75,,665,736,0.318,0.402,0.26,No,
NYM,New York Mets,NL,1977,162,64,,587,663,0.313,0.346,0.244,No,
NYY,New York Yankees,AL,1977,162,100,,831,651,0.344,0.444,0.281,Yes,1.0
OAK,Oakland Athletics,AL,1977,161,63,,605,749,0.308,0.352,0.24,No,
PHI,Philadelphia Phillies,NL,1977,162,101,,847,668,0.346,0.448,0.279,Yes,3.0
PIT,Pittsburgh Pirates,NL,1977,162,96,,734,665,0.331,0.413,0.274,No,
SDP,San Diego Padres,NL,1977,162,69,,692,834,0.324,0.375,0.249,No,
SEA,Seattle Mariners,AL,1977,162,64,,624,855,0.312,0.381,0.256,No,
SFG,San Francisco Giants,NL,1977,162,75,,673,711,0.323,0.383,0.253,No,
STL,St. Louis Cardinals,NL,1977,162,83,,737,688,0.33,0.388,0.27,No,
TEX,Texas Rangers,AL,1977,162,94,,767,657,0.342,0.405,0.27,No,
TOR,Toronto Blue Jays,AL,1977,161,54,,605,822,0.316,0.365,0.252,No,
ATL,Atlanta Braves,NL,1976,162,70,,620,700,0.32,0.334,0.245,No,
BAL,Baltimore Orioles,AL,1976,162,88,,619,598,0.31,0.358,0.243,No,
BOS,Boston Red Sox,AL,1976,162,83,,716,660,0.324,0.402,0.263,No,
CAL,California Angels,AL,1976,162,76,,550,631,0.306,0.318,0.235,No,
CHC,Chicago Cubs,NL,1976,162,75,,611,728,0.313,0.356,0.251,No,
CHW,Chicago White Sox,AL,1976,161,64,,586,745,0.314,0.349,0.255,No,
CIN,Cincinnati Reds,NL,1976,162,102,,857,633,0.357,0.424,0.28,Yes,1.0
CLE,Cleveland Indians,AL,1976,159,81,,615,615,0.321,0.359,0.263,No,
DET,Detroit Tigers,AL,1976,161,74,,609,709,0.315,0.365,0.257,No,
HOU,Houston Astros,NL,1976,162,80,,625,657,0.322,0.347,0.256,No,
KCR,Kansas City Royals,AL,1976,162,90,,713,611,0.327,0.371,0.269,Yes,3.0
LAD,Los Angeles Dodgers,NL,1976,162,92,,608,543,0.313,0.349,0.251,No,
MIL,Milwaukee Brewers,AL,1976,161,66,,570,655,0.311,0.34,0.246,No,
MIN,Minnesota Twins,AL,1976,162,85,,743,704,0.341,0.375,0.274,No,
MON,Montreal Expos,NL,1976,162,55,,531,734,0.291,0.34,0.235,No,
NYM,New York Mets,NL,1976,162,86,,615,538,0.319,0.352,0.246,No,
NYY,New York Yankees,AL,1976,159,97,,730,575,0.328,0.389,0.269,Yes,2.0
OAK,Oakland Athletics,AL,1976,161,87,,686,598,0.323,0.361,0.246,No,
PHI,Philadelphia Phillies,NL,1976,162,101,,770,557,0.338,0.395,0.272,Yes,3.0
