Team,Team Name,League,Year,Games,Wins,Home Runs,RS,RA,OBP,SLG,BA,Playoffs,PlayoffsFinish,Total Home Attendance,Attendance Bin
MIL,Milwaukee Brewers,AL,1996,162,80,178,894,899,0.353,0.441,0.279,No,,1327150,<1.5M
MIN,Minnesota Twins,AL,1996,162,78,118,877,900,0.357,0.425,0.288,No,,1437446,<1.5M
MON,Montreal Expos,NL,1996,162,88,148,741,668,0.327,0.406,0.262,No,,1618571,1.5M–2M
NYM,New York Mets,NL,1996,162,71,147,746,779,0.324,0.412,0.27,No,,1582648,1.5M–2M
NYY,New York Yankees,AL,1996,162,92,162,871,787,0.36,0.436,0.288,Yes,1.0,2255051,2M–2.5M
OAK,Oakland Athletics,AL,1996,162,78,243,861,900,0.344,0.452,0.265,No,,1187348,<1.5M
PHI,Philadelphia Phillies,NL,1996,162,67,132,650,790,0.325,0.387,0.256,No,,1796354,1.5M–2M
PIT,Pittsburgh Pirates,NL,1996,162,73,138,776,833,0.329,0.407,0.266,No,,1322079,<1.5M
SDP,San Diego Padres,NL,1996,162,91,147,771,682,0.338,0.402,0.265,Yes,4.0,2207918,2M–2.5M
SEA,Seattle Mariners,AL,1996,161,85,245,993,895,0.366,0.484,0.287,No,,2721073,2.5M–3M
SFG,San Francisco Giants,NL,1996,162,68,153,752,862,0.331,0.388,0.253,No,,1418722,<1.5M
STL,St. Louis Cardinals,NL,1996,162,88,142,759,706,0.33,0.407,0.267,Yes,3.0,2645824,2.5M–3M
TEX,Texas Rangers,AL,1996,163,90,221,928,799,0.358,0.469,0.284,Yes,4.0,2889040,2.5M–3M
TOR,Toronto Blue Jays,AL,1996,162,74,177,766,809,0.331,0.42,0.259,No,,2559910,2.5M–3M
ATL,Atlanta Braves,NL,1993,162,104,169,767,559,0.331,0.408,0.262,Yes,3.0,3879508,>3M
BAL,Baltimore Orioles,AL,1993,162,85,157,786,745,0.346,0.413,0.267,No,,3643768,>3M
BOS,Boston Red Sox,AL,1993,162,80,114,686,698,0.33,0.395,0.264,No,,2422054,2M–2.5M
CAL,California Angels,AL,1993,162,71,114,684,770,0.331,0.38,0.26,No,,2063049,2M–2.5M
CHC,Chicago Cubs,NL,1993,163,84,161,738,739,0.325,0.414,0.27,No,,2643428,2.5M–3M
CHW,Chicago White Sox,AL,1993,162,94,162,776,664,0.338,0.411,0.265,Yes,3.0,2581061,2.5M–3M
CIN,Cincinnati Reds,NL,1993,162,73,137,722,785,0.324,0.396,0.264,No,,2454428,2M–2.5M
CLE,Cleveland Indians,AL,1993,162,76,141,790,813,0.335,0.409,0.275,No,,2177908,2M–2.5M
COL,Colorado Rockies,NL,1993,162,67,142,758,967,0.323,0.422,0.273,No,,4483203,>3M
DET,Detroit Tigers,AL,1993,162,85,178,899,837,0.362,0.434,0.275,No,,1971401,1.5M–2M
FLA,Florida Marlins,NL,1993,162,64,94,581,724,0.314,0.346,0.248,No,,3066756,>3M
HOU,Houston Astros,NL,1993,162,85,138,716,630,0.33,0.409,0.267,No,,2081506,2M–2.5M
KCR,Kansas City Royals,AL,1993,162,84,125,675,694,0.32,0.397,0.263,No,,1941889,1.5M–2M
LAD,Los Angeles Dodgers,NL,1993,162,81,130,675,662,0.321,0.383,0.261,No,,3164720,>3M
MIL,Milwaukee Brewers,AL,1993,162,69,125,733,792,0.328,0.378,0.258,No,,1695077,1.5M–2M
MIN,Minnesota Twins,AL,1993,162,71,121,693,830,0.327,0.385,0.264,No,,2054523,2M–2.5M
MON,Montreal Expos,NL,1993,163,94,122,732,682,0.326,0.386,0.257,No,,1641438,1.5M–2M
NYM,New York Mets,NL,1993,162,59,158,672,744,0.305,0.39,0.248,No,,1873115,1.5M–2M
NYY,New York Yankees,AL,1993,162,88,178,821,761,0.353,0.435,0.279,No,,2416837,2M–2.5M
OAK,Oakland Athletics,AL,1993,162,68,158,715,846,0.33,0.394,0.254,No,,2029063,2M–2.5M
PHI,Philadelphia Phillies,NL,1993,162,97,156,877,740,0.351,0.426,0.274,Yes,2.0,3137512,>3M
PIT,Pittsburgh Pirates,NL,1993,162,75,110,707,806,0.335,0.393,0.267,No,,1652922,1.5M–2M
SDP,San Diego Padres,NL,1993,162,61,153,679,772,0.312,0.389,0.252,No,,1375432,<1.5M
SEA,Seattle Mariners,AL,1993,162,82,161,734,731,0.339,0.406,0.26,No,,2052425,2M–2.5M
SFG,San Francisco Giants,NL,1993,162,103,168,808,636,0.34,0.427,0.276,No,,2604635,2.5M–3M
STL,St. Louis Cardinals,NL,1993,162,87,118,758,744,0.341,0.395,0.272,No,,2840533,2.5M–3M
TEX,Texas Rangers,AL,1993,162,86,181,835,751,0.329,0.431,0.267,No,,2252616,2M–2.5M
TOR,Toronto Blue Jays,AL,1993,162,95,159,847,742,0.35,0.436,0.279,Yes,1.0,4057747,>3M
ATL,Atlanta Braves,NL,1992,162,98,138,682,569,0.316,0.388,0.254,Yes,2.0,3077400,>3M
BAL,Baltimore Orioles,AL,1992,162,89,148,705,656,0.34,0.398,0.259,No,,3569534,>3M
BOS,Boston Red Sox,AL,1992,162,73,84,599,669,0.321,0.347,0.246,No,,2469489,2M–2.5M
CAL,California Angels,AL,1992,162,72,88,579,671,0.301,0.338,0.243,No,,2065434,2M–2.5M
CHC,Chicago Cubs,NL,1992,162,78,104,593,624,0.307,0.364,0.254,No,,2126720,2M–2.5M
CHW,Chicago White Sox,AL,1992,162,86,110,738,690,0.336,0.383,0.261,No,,2681156,2.5M–3M
CIN,Cincinnati Reds,NL,1992,162,90,99,660,609,0.328,0.382,0.26,No,,2315946,2M–2.5M
CLE,Cleveland Indians,AL,1992,162,76,127,674,746,0.323,0.383,0.266,No,,1224274,<1.5M
DET,Detroit Tigers,AL,1992,162,75,182,791,794,0.337,0.407,0.256,No,,1423963,<1.5M
HOU,Houston Astros,NL,1992,162,81,96,608,668,0.313,0.359,0.246,No,,1211348,<1.5M
KCR,Kansas City Royals,AL,1992,162,72,75,610,667,0.315,0.364,0.256,No,,1867689,1.5M–2M
LAD,Los Angeles Dodgers,NL,1992,162,63,72,548,636,0.313,0.339,0.248,No,,2473366,2M–2.5M
MIL,Milwaukee Brewers,AL,1992,162,92,82,740,604,0.33,0.375,0.268,No,,1857351,1.5M–2M
MIN,Minnesota Twins,AL,1992,162,90,104,747,653,0.341,0.391,0.277,No,,2482188,2M–2.5M
MON,Montreal Expos,NL,1992,162,87,102,648,581,0.313,0.37,0.252,No,,1731566,1.5M–2M
NYM,New York Mets,NL,1992,162,72,93,599,653,0.31,0.342,0.235,No,,1779534,1.5M–2M
NYY,New York Yankees,AL,1992,162,76,163,733,746,0.328,0.406,0.261,No,,1748737,1.5M–2M
OAK,Oakland Athletics,AL,1992,162,96,142,745,672,0.346,0.386,0.258,Yes,3.0,2494160,2M–2.5M
PHI,Philadelphia Phillies,NL,1992,162,70,118,686,717,0.32,0.377,0.253,No,,1927448,1.5M–2M
PIT,Pittsburgh Pirates,NL,1992,162,96,106,693,595,0.324,0.381,0.255,Yes,3.0,1834523,1.5M–2M
SDP,San Diego Padres,NL,1992,162,82,135,617,636,0.313,0.386,0.255,No,,1721406,1.5M–2M
SEA,Seattle Mariners,AL,1992,162,64,149,679,799,0.323,0.402,0.263,No,,1651367,1.5M–2M
SFG,San Francisco Giants,NL,1992,162,72,105,574,647,0.302,0.355,0.244,No,,1561218,1.5M–2M
STL,St. Louis Cardinals,NL,1992,162,83,94,631,604,0.323,0.375,0.262,No,,2418483,2M–2.5M
TEX,Texas Rangers,AL,1992,162,77,159,682,753,0.321,0.393,0.25,No,,2198231,2M–2.5M
TOR,Toronto Blue Jays,AL,1992,162,96,163,780,682,0.333,0.414,0.263,Yes,1.0,4028318,>3M
ATL,Atlanta Braves,NL,1991,162,94,141,749,644,0.328,0.393,0.258,Yes,2.0,2140217,2M–2.5M
BAL,Baltimore Orioles,AL,1991,162,67,170,686,796,0.319,0.401,0.254,No,,2551102,2.5M–3M
BOS,Boston Red Sox,AL,1991,162,84,126,731,712,0.34,0.401,0.269,No,,2595356,2.5M–3M
CAL,California Angels,AL,1991,162,81,115,653,649,0.314,0.374,0.255,No,,2416146,2M–2.5M
CHC,Chicago Cubs,NL,1991,160,77,159,695,734,0.309,0.39,0.253,No,,2311520,2M–2.5M
CHW,Chicago White Sox,AL,1991,162,87,139,758,681,0.336,0.391,0.262,No,,2968154,2.5M–3M
CIN,Cincinnati Reds,NL,1991,162,74,164,689,691,0.32,0.403,0.258,No,,2372377,2M–2.5M
CLE,Cleveland Indians,AL,1991,162,57,79,576,759,0.313,0.35,0.254,No,,1051863,<1.5M
DET,Detroit Tigers,AL,1991,162,84,209,817,794,0.333,0.416,0.247,No,,1659472,1.5M–2M
HOU,Houston Astros,NL,1991,162,65,79,605,717,0.309,0.347,0.244,No,,1196152,<1.5M
KCR,Kansas City Royals,AL,1991,162,82,117,727,722,0.328,0.394,0.264,No,,2161527,2M–2.5M
LAD,Los Angeles Dodgers,NL,1991,162,93,108,665,565,0.326,0.359,0.253,No,,3346630,>3M
MIL,Milwaukee Brewers,AL,1991,162,83,116,799,744,0.336,0.396,0.271,No,,1478814,<1.5M
MIN,Minnesota Twins,AL,1991,162,95,140,776,652,0.344,0.42,0.28,Yes,1.0,2293842,2M–2.5M
MON,Montreal Expos,NL,1991,161,71,95,579,655,0.308,0.357,0.246,No,,978045,<1.5M
NYM,New York Mets,NL,1991,161,77,117,640,646,0.317,0.365,0.244,No,,2263729,2M–2.5M
NYY,New York Yankees,AL,1991,162,71,147,674,777,0.316,0.387,0.256,No,,1863729,1.5M–2M
OAK,Oakland Athletics,AL,1991,162,84,159,760,776,0.331,0.389,0.248,No,,2713193,2.5M–3M
PHI,Philadelphia Phillies,NL,1991,162,78,111,629,680,0.303,0.358,0.241,No,,2049958,2M–2.5M
PIT,Pittsburgh Pirates,NL,1991,162,98,126,768,632,0.338,0.398,0.263,Yes,3.0,2073028,2M–2.5M
SDP,San Diego Padres,NL,1991,162,84,121,636,646,0.31,0.362,0.244,No,,1803929,1.5M–2M
SEA,Seattle Mariners,AL,1991,162,83,126,702,674,0.328,0.383,0.255,No,,2109966,2M–2.5M
SFG,San Francisco Giants,NL,1991,162,75,141,649,697,0.309,0.381,0.246,No,,1737489,1.5M–2M
STL,St. Louis Cardinals,NL,1991,162,84,68,651,648,0.322,0.357,0.255,No,,2449537,2M–2.5M
TEX,Texas Rangers,AL,1991,162,85,177,829,814,0.341,0.424,0.27,No,,2297718,2M–2.5M
TOR,Toronto Blue Jays,AL,1991,162,91,133,684,622,0.322,0.4,0.257,Yes,3.0,4001526,>3M
ATL,Atlanta Braves,NL,1990,162,65,162,682,821,0.311,0.396,0.25,No,,1009748,<1.5M
BAL,Baltimore Orioles,AL,1990,161,76,132,669,698,0.33,0.37,0.245,No,,2420997,2M–2.5M
BOS,Boston Red Sox,AL,1990,162,88,106,699,664,0.344,0.395,0.272,Yes,3.0,2512898,2.5M–3M
CAL,California Angels,AL,1990,162,80,147,690,706,0.329,0.391,0.26,No,,2558640,2.5M–3M
CHC,Chicago Cubs,NL,1990,162,77,136,690,774,0.314,0.392,0.263,No,,2243394,2M–2.5M
CHW,Chicago White Sox,AL,1990,162,94,106,682,633,0.32,0.379,0.258,No,,2002359,2M–2.5M
CIN,Cincinnati Reds,NL,1990,162,91,125,693,597,0.325,0.399,0.265,Yes,1.0,2407563,2M–2.5M
CLE,Cleveland Indians,AL,1990,162,77,110,732,737,0.324,0.391,0.267,No,,1228031,<1.5M
DET,Detroit Tigers,AL,1990,162,79,172,750,754,0.337,0.409,0.259,No,,1470157,<1.5M
HOU,Houston Astros,NL,1990,162,75,94,573,656,0.313,0.345,0.242,No,,1313560,<1.5M
KCR,Kansas City Royals,AL,1990,161,75,100,707,709,0.328,0.395,0.267,No,,2244536,2M–2.5M
LAD,Los Angeles Dodgers,NL,1990,162,86,129,728,685,0.328,0.382,0.262,No,,3002950,>3M
MIL,Milwaukee Brewers,AL,1990,162,74,128,732,760,0.32,0.384,0.256,No,,1775008,1.5M–2M
MIN,Minnesota Twins,AL,1990,162,74,100,666,729,0.324,0.385,0.265,No,,1754348,1.5M–2M
MON,Montreal Expos,NL,1990,162,85,114,662,598,0.322,0.37,0.25,No,,1421391,<1.5M
NYM,New York Mets,NL,1990,162,91,172,775,613,0.323,0.408,0.256,No,,2733555,2.5M–3M
NYY,New York Yankees,AL,1990,162,67,147,603,749,0.3,0.366,0.241,No,,2006436,2M–2.5M
OAK,Oakland Athletics,AL,1990,162,103,164,733,570,0.336,0.391,0.254,Yes,2.0,2903203,2.5M–3M
PHI,Philadelphia Phillies,NL,1990,162,77,103,646,729,0.327,0.363,0.255,No,,1992124,1.5M–2M
PIT,Pittsburgh Pirates,NL,1990,162,95,138,733,619,0.33,0.405,0.259,Yes,3.0,2051806,2M–2.5M
SDP,San Diego Padres,NL,1990,162,75,123,673,673,0.32,0.38,0.257,No,,1894172,1.5M–2M
SEA,Seattle Mariners,AL,1990,162,77,107,640,680,0.333,0.373,0.259,No,,1509714,1.5M–2M
SFG,San Francisco Giants,NL,1990,162,85,152,719,710,0.323,0.396,0.262,No,,2001105,2M–2.5M
STL,St. Louis Cardinals,NL,1990,162,70,73,599,698,0.32,0.358,0.256,No,,2573275,2.5M–3M
TEX,Texas Rangers,AL,1990,162,83,110,676,696,0.331,0.376,0.259,No,,2057917,2M–2.5M
TOR,Toronto Blue Jays,AL,1990,162,86,167,767,661,0.328,0.419,0.265,No,,3884384,>3M
ATL,Atlanta Braves,NL,1989,161,63,128,584,680,0.298,0.35,0.234,No,,1034808,<1.5M
BAL,Baltimore Orioles,AL,1989,162,87,129,708,686,0.326,0.379,0.252,No,,2539245,2.5M–3M
BOS,Boston Red Sox,AL,1989,162,83,108,774,735,0.351,0.403,0.277,No,,2512069,2.5M–3M
CAL,California Angels,AL,1989,162,91,145,669,578,0.311,0.386,0.256,No,,2644233,2.5M–3M
CHC,Chicago Cubs,NL,1989,162,93,124,702,623,0.319,0.387,0.261,Yes,3.0,2491932,2M–2.5M
CHW,Chicago White Sox,AL,1989,161,69,94,693,750,0.328,0.383,0.271,No,,1045646,<1.5M
CIN,Cincinnati Reds,NL,1989,162,75,128,632,691,0.309,0.37,0.247,No,,1979440,1.5M–2M
CLE,Cleveland Indians,AL,1989,162,73,127,604,654,0.31,0.365,0.245,No,,1285635,<1.5M
DET,Detroit Tigers,AL,1989,162,59,116,617,816,0.318,0.351,0.242,No,,1543620,1.5M–2M
HOU,Houston Astros,NL,1989,162,86,97,647,669,0.306,0.345,0.239,No,,1863215,1.5M–2M
KCR,Kansas City Royals,AL,1989,162,92,101,690,635,0.329,0.373,0.261,No,,2475368,2M–2.5M
LAD,Los Angeles Dodgers,NL,1989,160,77,89,554,536,0.306,0.339,0.24,No,,2943833,2.5M–3M
MIL,Milwaukee Brewers,AL,1989,162,81,126,707,679,0.318,0.382,0.259,No,,1974300,1.5M–2M
MIN,Minnesota Twins,AL,1989,162,80,117,740,738,0.334,0.402,0.276,No,,2279508,2M–2.5M
MON,Montreal Expos,NL,1989,162,81,100,632,630,0.319,0.361,0.247,No,,1789073,1.5M–2M
NYM,New York Mets,NL,1989,162,87,147,683,595,0.311,0.385,0.246,No,,2916960,2.5M–3M
NYY,New York Yankees,AL,1989,161,74,130,698,792,0.331,0.391,0.269,No,,2196200,2M–2.5M
OAK,Oakland Athletics,AL,1989,162,99,127,712,576,0.331,0.381,0.261,Yes,1.0,2671641,2.5M–3M
PHI,Philadelphia Phillies,NL,1989,163,67,123,629,735,0.314,0.364,0.243,No,,1861985,1.5M–2M
PIT,Pittsburgh Pirates,NL,1989,164,74,95,637,680,0.311,0.359,0.241,No,,1374421,<1.5M
SDP,San Diego Padres,NL,1989,162,89,120,642,626,0.319,0.369,0.251,No,,2108158,2M–2.5M
SEA,Seattle Mariners,AL,1989,162,73,134,694,728,0.32,0.384,0.257,No,,1295433,<1.5M
SFG,San Francisco Giants,NL,1989,162,92,141,699,600,0.316,0.39,0.25,Yes,2.0,2080296,2M–2.5M
STL,St. Louis Cardinals,NL,1989,164,86,73,632,608,0.321,0.363,0.258,No,,3099147,>3M
TEX,Texas Rangers,AL,1989,162,83,122,695,714,0.326,0.394,0.263,No,,2042604,2M–2.5M
TOR,Toronto Blue Jays,AL,1989,162,89,142,731,651,0.323,0.398,0.26,Yes,3.0,3376693,>3M
ATL,Atlanta Braves,NL,1988,160,54,96,555,741,0.298,0.348,0.242,No,,848097,<1.5M
BAL,Baltimore Orioles,AL,1988,161,54,137,550,789,0.305,0.359,0.238,No,,1660738,1.5M–2M
BOS,Boston Red Sox,AL,1988,162,89,124,813,689,0.357,0.42,0.283,Yes,3.0,2463339,2M–2.5M
CAL,California Angels,AL,1988,162,75,124,714,771,0.321,0.385,0.261,No,,2340905,2M–2.5M
CHC,Chicago Cubs,NL,1988,163,77,113,660,694,0.31,0.383,0.261,No,,2088534,2M–2.5M
CHW,Chicago White Sox,AL,1988,161,71,132,631,757,0.303,0.37,0.244,No,,1115655,<1.5M
CIN,Cincinnati Reds,NL,1988,161,87,122,641,596,0.309,0.368,0.246,No,,2062528,2M–2.5M
CLE,Cleveland Indians,AL,1988,162,78,134,666,731,0.314,0.387,0.261,No,,1421790,<1.5M
DET,Detroit Tigers,AL,1988,162,88,143,703,658,0.324,0.378,0.25,No,,2081102,2M–2.5M
HOU,Houston Astros,NL,1988,162,82,96,617,631,0.306,0.351,0.244,No,,1933635,1.5M–2M
KCR,Kansas City Royals,AL,1988,161,84,121,704,648,0.321,0.391,0.259,No,,2349181,2M–2.5M
LAD,Los Angeles Dodgers,NL,1988,162,94,99,628,544,0.305,0.352,0.248,Yes,1.0,2980262,2.5M–3M
MIL,Milwaukee Brewers,AL,1988,162,87,113,682,616,0.314,0.375,0.257,No,,1928238,1.5M–2M
MIN,Minnesota Twins,AL,1988,162,91,151,759,672,0.34,0.421,0.274,No,,3029999,>3M
MON,Montreal Expos,NL,1988,163,81,107,628,592,0.309,0.373,0.251,No,,1478659,<1.5M
NYM,New York Mets,NL,1988,160,100,152,703,532,0.325,0.396,0.256,Yes,3.0,3048530,>3M
NYY,New York Yankees,AL,1988,161,85,148,772,748,0.333,0.395,0.263,No,,2633633,2.5M–3M
OAK,Oakland Athletics,AL,1988,162,104,156,800,620,0.336,0.399,0.263,Yes,2.0,2287446,2M–2.5M
PHI,Philadelphia Phillies,NL,1988,162,65,106,597,734,0.306,0.355,0.239,No,,1990042,1.5M–2M
PIT,Pittsburgh Pirates,NL,1988,160,85,110,651,616,0.317,0.369,0.247,No,,1865713,1.5M–2M
SDP,San Diego Padres,NL,1988,161,83,94,594,583,0.31,0.351,0.247,No,,1508563,1.5M–2M
SEA,Seattle Mariners,AL,1988,161,68,148,664,744,0.317,0.398,0.257,No,,1020354,<1.5M
SFG,San Francisco Giants,NL,1988,162,83,113,670,626,0.318,0.368,0.248,No,,1786482,1.5M–2M
STL,St. Louis Cardinals,NL,1988,162,76,71,578,633,0.309,0.337,0.249,No,,2892089,2.5M–3M
TEX,Texas Rangers,AL,1988,161,70,112,637,735,0.32,0.368,0.252,No,,1582084,1.5M–2M
TOR,Toronto Blue Jays,AL,1988,162,87,158,763,680,0.332,0.419,0.268,No,,2595275,2.5M–3M
ATL,Atlanta Braves,NL,1987,161,69,152,747,829,0.339,0.403,0.258,No,,1217403,<1.5M
BAL,Baltimore Orioles,AL,1987,162,67,211,729,880,0.322,0.418,0.258,No,,1845251,1.5M–2M
BOS,Boston Red Sox,AL,1987,162,78,174,842,825,0.352,0.43,0.278,No,,2231649,2M–2.5M
CAL,California Angels,AL,1987,162,75,172,770,803,0.326,0.401,0.252,No,,2696208,2.5M–3M
CHC,Chicago Cubs,NL,1987,161,76,209,720,801,0.326,0.432,0.264,No,,2035202,2M–2.5M
CHW,Chicago White Sox,AL,1987,162,77,173,748,746,0.319,0.415,0.258,No,,1208070,<1.5M
CIN,Cincinnati Reds,NL,1987,162,84,192,783,752,0.33,0.427,0.266,No,,2185205,2M–2.5M
CLE,Cleveland Indians,AL,1987,162,61,187,742,957,0.324,0.422,0.263,No,,1076898,<1.5M
DET,Detroit Tigers,AL,1987,162,98,225,896,735,0.349,0.451,0.272,Yes,3.0,2061830,2M–2.5M
HOU,Houston Astros,NL,1987,162,76,122,648,678,0.318,0.373,0.253,No,,1920997,1.5M–2M
KCR,Kansas City Royals,AL,1987,162,83,168,715,691,0.328,0.412,0.262,No,,2392471,2M–2.5M
LAD,Los Angeles Dodgers,NL,1987,162,73,125,635,675,0.309,0.371,0.252,No,,2800409,2.5M–3M
MIL,Milwaukee Brewers,AL,1987,162,91,163,862,817,0.346,0.428,0.276,No,,1908784,1.5M–2M
MIN,Minnesota Twins,AL,1987,162,85,196,786,806,0.328,0.43,0.261,Yes,1.0,2082203,2M–2.5M
MON,Montreal Expos,NL,1987,162,91,120,741,720,0.328,0.401,0.265,No,,1850324,1.5M–2M
NYM,New York Mets,NL,1987,162,92,192,823,698,0.339,0.434,0.268,No,,3027121,>3M
NYY,New York Yankees,AL,1987,162,89,196,788,758,0.336,0.418,0.262,No,,2427702,2M–2.5M
OAK,Oakland Athletics,AL,1987,162,81,199,806,789,0.333,0.428,0.26,No,,1678922,1.5M–2M
PHI,Philadelphia Phillies,NL,1987,162,80,169,702,749,0.327,0.41,0.254,No,,2100110,2M–2.5M
PIT,Pittsburgh Pirates,NL,1987,162,80,131,723,744,0.33,0.403,0.264,No,,1161193,<1.5M
SDP,San Diego Padres,NL,1987,162,65,113,668,763,0.332,0.378,0.26,No,,1454101,<1.5M
SEA,Seattle Mariners,AL,1987,162,78,161,760,801,0.335,0.428,0.272,No,,1133010,<1.5M
SFG,San Francisco Giants,NL,1987,162,90,205,783,669,0.324,0.43,0.26,Yes,3.0,1917863,1.5M–2M
STL,St. Louis Cardinals,NL,1987,162,95,94,798,693,0.34,0.378,0.263,Yes,2.0,3073131,>3M
TEX,Texas Rangers,AL,1987,162,75,194,823,849,0.333,0.43,0.266,No,,1763749,1.5M–2M
TOR,Toronto Blue Jays,AL,1987,162,96,215,845,655,0.336,0.446,0.269,No,,2778459,2.5M–3M
ATL,Atlanta Braves,NL,1986,161,72,138,615,719,0.319,0.381,0.25,No,,1387152,<1.5M
BAL,Baltimore Orioles,AL,1986,162,73,169,708,760,0.327,0.395,0.258,No,,1973222,1.5M–2M
BOS,Boston Red Sox,AL,1986,161,95,144,794,696,0.346,0.415,0.271,Yes,2.0,2146694,2M–2.5M
CAL,California Angels,AL,1986,162,92,167,786,684,0.338,0.404,0.255,Yes,3.0,2655459,2.5M–3M
CHC,Chicago Cubs,NL,1986,160,70,155,680,781,0.318,0.398,0.256,No,,1859102,1.5M–2M
CHW,Chicago White Sox,AL,1986,162,72,121,644,699,0.31,0.363,0.247,No,,1424017,<1.5M
CIN,Cincinnati Reds,NL,1986,162,86,144,732,717,0.325,0.387,0.254,No,,1692432,1.5M–2M
CLE,Cleveland Indians,AL,1986,163,84,157,831,841,0.337,0.43,0.284,No,,1470977,<1.5M
DET,Detroit Tigers,AL,1986,162,87,198,798,714,0.338,0.424,0.263,No,,1899437,1.5M–2M
HOU,Houston Astros,NL,1986,162,96,125,654,569,0.322,0.381,0.255,Yes,3.0,1734266,1.5M–2M
KCR,Kansas City Royals,AL,1986,162,76,137,654,673,0.313,0.39,0.252,No,,2320764,2M–2.5M
LAD,Los Angeles Dodgers,NL,1986,162,73,130,638,679,0.313,0.37,0.251,No,,3033208,>3M
MIL,Milwaukee Brewers,AL,1986,161,77,127,667,734,0.321,0.385,0.255,No,,1265041,<1.5M
MIN,Minnesota Twins,AL,1986,162,71,196,741,839,0.325,0.428,0.261,No,,1256566,<1.5M
MON,Montreal Expos,NL,1986,161,78,110,637,688,0.322,0.379,0.254,No,,1125164,<1.5M
NYM,New York Mets,NL,1986,162,108,148,783,578,0.339,0.401,0.263,Yes,1.0,2762417,2.5M–3M
NYY,New York Yankees,AL,1986,162,90,188,797,738,0.347,0.43,0.271,No,,2268186,2M–2.5M
OAK,Oakland Athletics,AL,1986,162,76,163,731,760,0.322,0.39,0.252,No,,1314646,<1.5M
PHI,Philadelphia Phillies,NL,1986,161,86,154,739,713,0.327,0.4,0.253,No,,1918623,1.5M–2M
PIT,Pittsburgh Pirates,NL,1986,162,64,111,663,700,0.321,0.374,0.25,No,,1014629,<1.5M
SDP,San Diego Padres,NL,1986,162,74,136,656,723,0.321,0.388,0.261,No,,1805776,1.5M–2M
SEA,Seattle Mariners,AL,1986,162,67,158,718,835,0.326,0.399,0.253,No,,1028223,<1.5M
SFG,San Francisco Giants,NL,1986,162,83,114,698,618,0.322,0.375,0.253,No,,1532385,1.5M–2M
STL,St. Louis Cardinals,NL,1986,161,79,58,601,611,0.309,0.327,0.236,No,,2498142,2M–2.5M
TEX,Texas Rangers,AL,1986,162,87,184,771,743,0.331,0.428,0.267,No,,1692021,1.5M–2M
TOR,Toronto Blue Jays,AL,1986,163,86,181,809,733,0.329,0.427,0.269,No,,2455477,2M–2.5M
ATL,Atlanta Braves,NL,1985,162,66,126,632,781,0.315,0.363,0.246,No,,1350047,<1.5M
BAL,Baltimore Orioles,AL,1985,161,83,214,818,764,0.336,0.43,0.263,No,,2137434,2M–2.5M
BOS,Boston Red Sox,AL,1985,163,81,162,800,720,0.347,0.429,0.282,No,,1786463,1.5M–2M
CAL,California Angels,AL,1985,162,90,153,732,703,0.333,0.386,0.251,No,,2567787,2.5M–3M
CHC,Chicago Cubs,NL,1985,162,77,150,686,729,0.324,0.39,0.254,No,,2161534,2M–2.5M
CHW,Chicago White Sox,AL,1985,163,85,146,736,720,0.315,0.392,0.253,No,,1669970,1.5M–2M
CIN,Cincinnati Reds,NL,1985,162,89,114,677,666,0.327,0.376,0.255,No,,1834619,1.5M–2M
CLE,Cleveland Indians,AL,1985,162,60,116,729,861,0.324,0.385,0.265,No,,655181,<1.5M
DET,Detroit Tigers,AL,1985,161,84,202,729,688,0.318,0.424,0.253,No,,2286610,2M–2.5M
HOU,Houston Astros,NL,1985,162,83,121,706,691,0.319,0.388,0.261,No,,1184383,<1.5M
KCR,Kansas City Royals,AL,1985,162,91,154,687,639,0.313,0.401,0.252,Yes,1.0,2162715,2M–2.5M
LAD,Los Angeles Dodgers,NL,1985,162,95,129,682,579,0.328,0.382,0.261,Yes,3.0,3264683,>3M
MIL,Milwaukee Brewers,AL,1985,161,71,101,690,802,0.319,0.379,0.263,No,,1359995,<1.5M
MIN,Minnesota Twins,AL,1985,162,77,141,705,782,0.326,0.407,0.264,No,,1652063,1.5M–2M
MON,Montreal Expos,NL,1985,161,84,118,633,636,0.31,0.375,0.247,No,,1502494,1.5M–2M
NYM,New York Mets,NL,1985,162,98,134,695,568,0.323,0.385,0.257,No,,2751237,2.5M–3M
NYY,New York Yankees,AL,1985,161,97,176,839,660,0.344,0.425,0.267,No,,2214587,2M–2.5M
OAK,Oakland Athletics,AL,1985,162,77,155,757,787,0.325,0.401,0.264,No,,1334627,<1.5M
PHI,Philadelphia Phillies,NL,1985,162,75,141,667,673,0.312,0.383,0.245,No,,1830350,1.5M–2M
PIT,Pittsburgh Pirates,NL,1985,161,57,80,568,708,0.311,0.347,0.247,No,,735900,<1.5M
SDP,San Diego Padres,NL,1985,162,83,109,650,622,0.32,0.368,0.255,No,,2210352,2M–2.5M
SEA,Seattle Mariners,AL,1985,162,74,171,719,818,0.326,0.412,0.255,No,,1127603,<1.5M
SFG,San Francisco Giants,NL,1985,162,62,115,556,674,0.299,0.348,0.233,No,,818697,<1.5M
STL,St. Louis Cardinals,NL,1985,162,101,87,747,572,0.335,0.379,0.264,Yes,2.0,2661465,2.5M–3M
